,,AREA,,,,,,,,,,,,,CASES/DEATHS: LAST WEEK (May 20-26),,,,,CASES/DEATHS: % CHANGE FROM PREVIOUS WEEK,,CASES/DEATHS: PREVIOUS WEEK (May 13-19),,,,,CASES/DEATHS: OTHER METRICS,,,,,,,,,,"VIRAL (RT-PCR) LAB TESTING: LAST WEEK (May 18-24, Test Volume May 14-20 )",,,,,VIRAL (RT-PCR) LAB TESTING: % CHANGE FROM PREVIOUS WEEK,,,,"VIRAL (RT-PCR) LAB TESTING: PREVIOUS WEEK (May 11-17, Test Volume May 7-13 )",,,,,HOSPITAL UTILIZATION: LAST WEEK (May 19-25),,,,,,,,,,HOSPITAL UTILIZATION: CHANGE FROM PREVIOUS WEEK,,,,,,,,HOSPITAL REPORTING AND CAPACITY,,,,,,,,COVID-19 VACCINATION DATA: CUMULATIVE (May 27),,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA LAST WEEK,,,,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA % CHANGE FROM PREVIOUS WEEK,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA CUMULATIVE,,,,,,,,,,,,DEMOGRAPHIC DETAILS,,,,,,,,,,FORECASTING RESULTS (May 24)
"Yazoo County, MS",Yazoo County ,28163,Medium metro,"Jackson, MS",Metropolitan,MS,4,"  29,690 ",5.0%,1.0%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  17 ,  -   ,  -   ,0%,-100%,0.0%,  5 ,  17 ,  1 ,  3.4 ,"  3,124 ","  10,522 ",  70 ,  236 ,  -   ,  17 ,ModerateBurden,,Moderate,Moderate,5.5%,  94 ,  317 ,  -   ,99%,+3.6%,-56%,  -   ,0%,1.9%,  215 ,  724 ,  -   ,99%,  -   ,  -   ,  -   ,  -   ,50%,2%,,,0%,0%,,,+1%,+2%,,,0%,0%,  1 ,  30 ,  -   ,  1 ,100%,100%,100%,100%,"  9,199 ",31.0%,"  6,751 ",22.7%,  14 ,0.6%,  145 ,0.6%,  26 ,0.7%,,,,  79 ,3.6%,  22 ,1.0%,"  9,120 ",38.7%,"  6,729 ",28.6%,"  2,861 ",75.1%,"  2,431 ",63.8%,13%,32%,13%,  2.7 ,56%,9%,0%,1%,  1.00 ,  0.96 ,Uncertain
"Reeves County, TX",Reeves County ,48389,Micropolitan,"Pecos, TX",Micropolitan,TX,6,"  15,976 ",99.0%,0.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  31 ,  -   ,  -   ,-86%,,0.0%,  37 ,  232 ,  -   ,  -   ,"  1,900 ","  11,893 ",  43 ,  269 ,  -   ,  4 ,ModerateBurdenResolving,,Moderate,High,7.1%,  96 ,  601 ,  -   ,100%,-2.0%,+5%,  (1.0),0%,9.2%,  91 ,  570 ,  1.0 ,100%,  -   ,  -   ,  -   ,  -   ,25%,2%,0%,0%,6%,0%,-100%,,-5%,-4%,0%,0%,+5%,0%,  1 ,  26 ,  2 ,  9 ,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,20%,12%,12%,  3.5 ,5%,75%,0%,1%,  0.78 ,  0.86 ,Likely Decreasing
"Northumberland County, VA",Northumberland County ,51133,Non-core,,,VA,3,"  12,095 ",,0.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  41 ,  -   ,  -   ,,,0.0%,  -   ,  -   ,  -   ,  -   ,  747 ,"  6,176 ",  20 ,  165 ,  -   ,  31 ,ModerateBurden,,Moderate,Low,0.9%,  123 ,"  1,017 ",  1.0 ,100%,+0.9%,+18%,  -   ,0%,0.0%,  104 ,  860 ,  1.0 ,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  2,684 ",22.2%,"  2,402 ",19.9%,  7 ,1.1%,  31 ,0.3%,  8 ,0.2%,,,,  26 ,4.1%,  12 ,1.9%,"  2,658 ",25.7%,"  2,390 ",23.1%,"  1,516 ",33.4%,"  1,444 ",31.8%,11%,14%,38%,  2.2 ,25%,4%,0%,0%,  0.12 ,  0.50 ,Uncertain
"Payette County, ID",Payette County ,16075,Micropolitan,"Ontario, OR-ID",Micropolitan,ID,10,"  23,951 ",43.9%,1.3%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  21 ,  -   ,  -   ,-62%,,0.0%,  13 ,  54 ,  -   ,  -   ,"  2,581 ","  10,776 ",  37 ,  154 ,  -   ,  18 ,ModerateBurden,,Moderate,Substantial,2.7%,  161 ,  672 ,  1.0 ,100%,-4.8%,-6%,  -   ,+5%,7.6%,  172 ,  718 ,  1.0 ,95%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  5,536 ",23.1%,"  4,829 ",20.2%,  2 ,0.1%,  118 ,0.7%,  23 ,0.5%,,,,  3 ,0.1%,,,"  5,532 ",31.2%,"  4,829 ",27.2%,"  2,775 ",62.2%,"  2,511 ",56.3%,13%,14%,19%,  2.6 ,0%,17%,1%,1%,  0.60 ,  0.51 ,Uncertain
"Bracken County, KY",Bracken County ,21023,Large fringe metro,"Cincinnati, OH-KY-IN",Metropolitan,KY,4,"  8,303 ",0.4%,0.2%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  60 ,  -   ,  -   ,-55%,,0.0%,  11 ,  132 ,  -   ,  -   ,  650 ,"  7,828 ",  7 ,  84 ,  -   ,  30 ,ModerateBurden,,Substantial,High,4.1%,  125 ,"  1,505 ",  -   ,100%,-0.2%,+4%,  -   ,+2%,4.3%,  120 ,"  1,445 ",  -   ,98%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  2,838 ",34.2%,"  2,594 ",31.2%,  7 ,1.0%,  40 ,0.6%,  8 ,0.6%,,,,  21 ,3.0%,  5 ,0.7%,"  2,817 ",44.4%,"  2,589 ",40.8%,"  1,095 ",76.7%,"  1,045 ",73.2%,5%,19%,17%,  2.5 ,1%,2%,0%,0%,  0.39 ,  0.73 ,Uncertain
"Prince Edward County, VA",Prince Edward County ,51147,Non-core,,,VA,3,"  22,802 ",,0.3%,0.0%,  -   ,"  4,999 ",21.9%,0.0%,  5 ,  22 ,  -   ,  -   ,-76%,,0.0%,  21 ,  92 ,  -   ,  -   ,"  2,174 ","  9,534 ",  34 ,  149 ,  -   ,  28 ,ModerateBurden,,Moderate,High,1.7%,  204 ,  895 ,  1.0 ,95%,-11.1%,-27%,  -   ,-5%,12.8%,  280 ,"  1,228 ",  1.0 ,100%,  -   ,  -   ,  4 ,  5 ,48%,0%,28%,0%,3%,0%,,+100%,-4%,0%,-31%,0%,-6%,0%,  1 ,  78 ,  8 ,  16 ,100%,100%,100%,100%,  606 ,2.7%,  480 ,2.1%,  1 ,0.1%,  6 ,0.0%,  2 ,0.1%,,,,  5 ,0.4%,  2 ,0.2%,  601 ,3.1%,  478 ,2.5%,  261 ,6.7%,  226 ,5.8%,9%,20%,17%,  2.5 ,32%,3%,0%,1%,  0.73 ,  0.41 ,Uncertain
"Montague County, TX",Montague County ,48337,Non-core,,,TX,6,"  19,818 ",,0.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  25 ,  -   ,  -   ,-64%,,0.0%,  14 ,  71 ,  -   ,  -   ,"  2,107 ","  10,632 ",  71 ,  358 ,  -   ,  -   ,ModerateBurden,,Moderate,Substantial,0.0%,  78 ,  394 ,  1.0 ,100%,-5.0%,-18%,  1.0 ,0%,5.0%,  95 ,  479 ,  -   ,100%,  -   ,  -   ,  -   ,  -   ,10%,0%,,,0%,0%,,,+4%,0%,,,0%,0%,  1 ,  22 ,  -   ,  8 ,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,19%,14%,22%,  2.4 ,1%,11%,1%,0%,  0.58 ,  0.58 ,Likely Decreasing
"Coshocton County, OH",Coshocton County ,39031,Micropolitan,"Coshocton, OH",Micropolitan,OH,5,"  36,600 ",100.0%,0.3%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  14 ,  1 ,  2.7 ,-58%,,0.0%,  12 ,  33 ,  -   ,  -   ,"  2,672 ","  7,301 ",  58 ,  158 ,  -   ,  29 ,ModerateBurden,,Moderate,Moderate,2.4%,  299 ,  817 ,  1.0 ,100%,0.0%,-24%,  -   ,0%,2.5%,  392 ,"  1,071 ",  1.0 ,100%,  -   ,  -   ,  9 ,  42 ,88%,0%,100%,0%,0%,0%,,-11%,+12%,-1%,+50%,0%,0%,0%,  1 ,  21 ,  4 ,  7 ,100%,100%,100%,100%,"  9,995 ",27.3%,"  9,493 ",25.9%,  28 ,0.9%,  148 ,0.5%,  24 ,0.3%,,,,  158 ,5.3%,  71 ,2.4%,"  9,836 ",35.3%,"  9,422 ",33.8%,"  4,592 ",63.3%,"  4,465 ",61.5%,11%,16%,20%,  2.5 ,1%,1%,0%,0%,  0.62 ,  0.53 ,Uncertain
"Custer County, CO",Custer County ,8027,Non-core,,,CO,8,"  5,068 ",,0.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  99 ,  -   ,  -   ,,,0.0%,  -   ,  -   ,  -   ,  -   ,  203 ,"  4,006 ",  1 ,  20 ,  -   ,  12 ,ModerateBurden,,Substantial,Low,6.0%,  50 ,  987 ,  1.0 ,100%,+6.0%,-7%,  -   ,+2%,0.0%,  54 ,"  1,066 ",  1.0 ,98%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  1,099 ",21.7%,"  1,072 ",21.2%,  1 ,0.4%,  24 ,0.5%,  5 ,0.3%,,,,  8 ,3.5%,  4 ,1.7%,"  1,091 ",25.0%,"  1,068 ",24.4%,  355 ,21.2%,  424 ,25.3%,15%,15%,33%,  2.2 ,1%,6%,1%,1%,  0.24 ,  0.24 ,Uncertain
"Madison County, NE",Madison County ,31119,Micropolitan,"Norfolk, NE",Micropolitan,NE,7,"  35,099 ",72.9%,1.8%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  14 ,  2 ,  5.7 ,-38%,,0.0%,  8 ,  23 ,  -   ,  -   ,"  4,303 ","  12,260 ",  44 ,  125 ,  -   ,  5 ,ModerateBurdenResolving,,Moderate,Moderate,1.8%,  140 ,  399 ,  1.0 ,99%,-0.4%,-39%,  1.0 ,0%,2.2%,  228 ,  650 ,  -   ,99%,  -   ,  -   ,  -   ,  -   ,47%,2%,32%,5%,3%,0%,,,-11%,+1%,0%,+2%,+3%,0%,  1 ,  89 ,  37 ,  33 ,100%,100%,100%,100%,"  9,219 ",26.3%,"  10,516 ",30.0%,  75 ,2.6%,  210 ,0.8%,  15 ,0.3%,,,,  237 ,8.3%,  89 ,3.1%,"  8,978 ",34.3%,"  10,426 ",39.9%,"  2,245 ",39.4%,"  4,055 ",71.2%,8%,16%,16%,  2.4 ,1%,16%,1%,2%,  0.51 ,  0.17 ,Uncertain
"Norman County, MN",Norman County ,27107,Non-core,,,MN,5,"  6,375 ",,0.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  78 ,  -   ,  -   ,+150%,,0.0%,  2 ,  31 ,  -   ,  -   ,  546 ,"  8,565 ",  9 ,  141 ,  -   ,  33 ,ModerateBurden,,Substantial,Moderate,6.5%,  72 ,"  1,129 ",  1.0 ,100%,+3.6%,+20%,  1.0 ,0%,2.9%,  60 ,  941 ,  -   ,100%,  -   ,  -   ,  -   ,  -   ,9%,0%,,,0%,0%,,,+3%,0%,,,0%,0%,  1 ,  5 ,  -   ,  3 ,100%,100%,100%,100%,"  2,922 ",45.8%,"  2,571 ",40.3%,  19 ,3.5%,  16 ,0.3%,,,,,,  110 ,20.1%,  46 ,8.4%,"  2,807 ",58.1%,"  2,525 ",52.3%,"  1,120 ",81.8%,"  1,022 ",74.6%,6%,10%,21%,  2.3 ,1%,5%,2%,1%,  0.32 ,  0.38 ,Uncertain
"Anderson County, KY",Anderson County ,21005,Micropolitan,"Frankfort, KY",Micropolitan,KY,4,"  22,747 ",30.9%,0.5%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  22 ,  1 ,  4.4 ,-58%,,0.0%,  12 ,  53 ,  -   ,  -   ,"  1,757 ","  7,724 ",  23 ,  101 ,  -   ,  17 ,ModerateBurden,,Moderate,Substantial,1.2%,  277 ,"  1,218 ",  -   ,100%,-1.1%,-34%,  -   ,0%,2.2%,  418 ,"  1,838 ",  -   ,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  10,664 ",46.9%,"  8,763 ",38.5%,  87 ,4.6%,  272 ,1.6%,  19 ,0.5%,,,,  299 ,15.9%,  74 ,3.9%,"  10,365 ",59.6%,"  8,689 ",49.9%,"  3,273 ",88.2%,"  3,029 ",81.6%,4%,14%,16%,  2.6 ,2%,2%,0%,1%,  0.26 ,  0.63 ,Uncertain
"Southampton County, VA",Southampton County ,51175,Non-core,"Virginia Beach-Norfolk-Newport News, VA-NC",Metropolitan,VA,3,"  17,631 ",1.0%,0.2%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  28 ,  -   ,  -   ,-17%,,0.0%,  6 ,  34 ,  -   ,  -   ,"  1,983 ","  11,247 ",  56 ,  318 ,  -   ,  -   ,ModerateBurden,,Moderate,Moderate,2.4%,  177 ,"  1,004 ",  1.0 ,99%,+1.8%,+4%,  -   ,-1%,0.6%,  170 ,  964 ,  1.0 ,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  1,284 ",7.3%,  946 ,5.4%,,,  32 ,0.2%,  4 ,0.1%,,,,  12 ,1.0%,  2 ,0.2%,"  1,271 ",8.9%,  943 ,6.6%,  521 ,14.2%,  417 ,11.4%,7%,10%,21%,  2.5 ,34%,2%,0%,1%,  0.48 ,  0.80 ,Uncertain
"Nemaha County, NE",Nemaha County ,31127,Non-core,,,NE,7,"  6,972 ",,0.4%,0.0%,  -   ,"  1,140 ",16.4%,0.0%,  5 ,  72 ,  -   ,  -   ,0%,,0.0%,  5 ,  72 ,  -   ,  -   ,  696 ,"  9,983 ",  15 ,  215 ,  -   ,  34 ,ModerateBurden,,Substantial,High,0.0%,  14 ,  201 ,  1.0 ,100%,-11.5%,-55%,  -   ,0%,11.5%,  31 ,  445 ,  1.0 ,100%,  -   ,  -   ,  7 ,  24 ,6%,0%,,,,,,0%,-3%,0%,,,,,  1 ,  29 ,  -   ,  -   ,100%,100%,100%,100%,"  2,439 ",35.0%,"  2,441 ",35.0%,  11 ,2.3%,  36 ,0.7%,  3 ,0.2%,,,,  43 ,8.8%,  5 ,1.0%,"  2,396 ",44.3%,"  2,436 ",45.0%,  889 ,62.6%,  991 ,69.8%,6%,12%,20%,  2.3 ,1%,3%,0%,1%,  0.17 ,  0.09 ,Uncertain
"Athens County, OH",Athens County ,39009,Micropolitan,"Athens, OH",Micropolitan,OH,5,"  65,327 ",100.0%,0.6%,0.0%,  1 ,"  20,184 ",30.9%,0.0%,  5 ,  8 ,  -   ,  -   ,-29%,,0.0%,  7 ,  11 ,  -   ,  -   ,"  5,213 ","  7,980 ",  59 ,  90 ,  -   ,  27 ,LowBurden,,Low,Moderate,0.7%,"  1,263 ","  1,933 ",  1.0 ,99%,-0.2%,+51%,  -   ,-1%,0.9%,  836 ,"  1,280 ",  1.0 ,100%,  1 ,  3 ,  -   ,  -   ,63%,2%,67%,0%,15%,0%,+18%,,+12%,-1%,-1%,0%,+2%,0%,  1 ,  38 ,  6 ,  14 ,100%,100%,100%,100%,"  25,099 ",38.4%,"  23,623 ",36.2%,  45 ,1.3%,  350 ,0.6%,  50 ,0.6%,,,,  814 ,24.2%,  295 ,8.8%,"  24,285 ",43.4%,"  23,328 ",41.7%,"  6,974 ",78.2%,"  6,636 ",74.4%,6%,31%,14%,  2.5 ,3%,2%,0%,3%,  0.73 ,  0.34 ,Uncertain
"McCulloch County, TX",McCulloch County ,48307,Non-core,,,TX,6,"  7,984 ",,0.0%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  63 ,  -   ,  -   ,+67%,,0.0%,  3 ,  38 ,  -   ,  -   ,  581 ,"  7,277 ",  19 ,  238 ,  -   ,  -   ,ModerateBurden,,High,High,13.3%,  15 ,  188 ,  1.0 ,100%,+2.2%,-6%,  1.0 ,0%,11.1%,  16 ,  200 ,  -   ,100%,  -   ,  -   ,  -   ,  -   ,10%,0%,,,0%,0%,,,-15%,0%,,,0%,0%,  1 ,  22 ,  -   ,  5 ,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,18%,16%,22%,  2.4 ,2%,33%,0%,1%,  0.74 ,  0.81 ,Uncertain
"Sevier County, AR",Sevier County ,5133,Non-core,,,AR,6,"  17,007 ",,0.6%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  29 ,  -   ,  -   ,+150%,,0.0%,  2 ,  12 ,  -   ,  -   ,"  2,797 ","  16,446 ",  24 ,  141 ,  -   ,  -   ,ModerateBurden,,Moderate,Moderate,,  6 ,  35 ,  -   ,100%,,-84%,  (1.0),+4%,0.0%,  38 ,  223 ,  1.0 ,96%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  4,736 ",27.8%,"  4,145 ",24.4%,  5 ,0.3%,  47 ,0.4%,  3 ,0.1%,,,,  52 ,3.2%,  34 ,2.1%,"  4,683 ",38.6%,"  4,111 ",33.9%,"  1,567 ",61.6%,"  1,427 ",56.1%,15%,21%,15%,  2.9 ,4%,34%,2%,0%,  0.77 ,  0.89 ,Uncertain
"Macon County, AL",Macon County ,1087,Non-core,,,AL,4,"  18,068 ",,0.4%,0.0%,  -   ,"  2,907 ",16.1%,0.0%,  5 ,  28 ,  -   ,  -   ,-71%,,0.0%,  17 ,  94 ,  -   ,  -   ,"  1,619 ","  8,961 ",  50 ,  277 ,  -   ,  3 ,ModerateBurden,,Moderate,Substantial,4.2%,  318 ,"  1,760 ",  1.0 ,97%,0.0%,+15%,  -   ,0%,4.1%,  277 ,"  1,533 ",  1.0 ,97%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  6,564 ",36.3%,"  5,044 ",27.9%,  4 ,0.4%,  93 ,0.6%,  11 ,0.3%,,,,  61 ,5.8%,  39 ,3.7%,"  6,502 ",43.4%,"  5,005 ",33.4%,"  2,712 ",71.7%,"  2,144 ",56.6%,8%,26%,21%,  2.2 ,80%,2%,0%,1%,  0.90 ,  0.85 ,Uncertain
"Jo Daviess County, IL",Jo Daviess County ,17085,Non-core,,,IL,5,"  21,235 ",,0.2%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  24 ,  -   ,  -   ,-58%,,0.0%,  12 ,  57 ,  -   ,  -   ,"  1,824 ","  8,590 ",  24 ,  113 ,  -   ,  35 ,ModerateBurden,,Moderate,Substantial,2.2%,  95 ,  447 ,  -   ,100%,-3.0%,-20%,  -   ,+1%,5.2%,  119 ,  560 ,  -   ,99%,  -   ,  -   ,  -   ,  -   ,60%,0%,,,0%,0%,,,+2%,0%,,,0%,0%,  1 ,  13 ,  -   ,  4 ,100%,100%,100%,100%,"  14,882 ",70.1%,"  12,259 ",57.7%,  53 ,3.5%,  183 ,1.1%,  25 ,,,,,  301 ,20.1%,  129 ,8.6%,"  14,577 ",84.5%,"  12,130 ",70.3%,"  7,097 ",99.9%,"  6,030 ",98.4%,5%,8%,29%,  2.2 ,1%,3%,0%,0%,  0.05 ,  0.35 ,Uncertain
"Barton County, KS",Barton County ,20009,Micropolitan,"Great Bend, KS",Micropolitan,KS,7,"  25,779 ",100.0%,0.9%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  19 ,  -   ,  -   ,+67%,,0.0%,  3 ,  12 ,  -   ,  -   ,"  2,622 ","  10,171 ",  49 ,  190 ,  -   ,  -   ,ModerateBurden,,Moderate,Moderate,1.2%,  87 ,  337 ,  1.0 ,99%,-1.9%,-24%,  -   ,+1%,3.0%,  115 ,  446 ,  1.0 ,98%,  -   ,  -   ,  4 ,  5 ,43%,1%,,,0%,0%,,,+2%,-1%,,,0%,0%,  3 ,  81 ,  -   ,  15 ,100%,100%,100%,100%,"  8,304 ",32.2%,"  7,244 ",28.1%,  26 ,1.2%,  113 ,0.6%,  14 ,0.3%,,,,  50 ,2.4%,  6 ,0.3%,"  8,253 ",41.9%,"  7,237 ",36.7%,"  3,479 ",67.8%,"  3,201 ",62.4%,12%,17%,20%,  2.4 ,1%,15%,1%,0%,  0.54 ,  0.51 ,Uncertain
"Lanier County, GA",Lanier County ,13173,Small metro,"Valdosta, GA",Metropolitan,GA,4,"  10,423 ",7.1%,0.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  48 ,  -   ,  -   ,+400%,,0.0%,  1 ,  10 ,  -   ,  -   ,  789 ,"  7,570 ",  13 ,  125 ,  -   ,  12 ,ModerateBurden,,Moderate,Moderate,0.0%,  45 ,  432 ,  -   ,95%,-4.3%,-2%,  -   ,-1%,4.3%,  46 ,  441 ,  -   ,96%,  -   ,  -   ,  -   ,  -   ,38%,0%,,,,,,,+2%,0%,,,,,  1 ,  28 ,  -   ,  -   ,100%,100%,100%,100%,  628 ,6.0%,  549 ,5.3%,  6 ,0.8%,  14 ,0.2%,  2 ,0.1%,,,,  15 ,1.9%,  1 ,0.1%,  613 ,7.7%,  548 ,6.9%,  213 ,14.5%,  203 ,13.8%,16%,24%,14%,  2.7 ,21%,6%,1%,1%,  0.87 ,  0.85 ,Uncertain
"Pierce County, WI",Pierce County ,55093,Large fringe metro,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan,WI,5,"  42,754 ",1.2%,0.7%,0.0%,  1 ,"  5,396 ",12.6%,0.0%,  5 ,  12 ,  -   ,  -   ,-78%,,0.0%,  23 ,  54 ,  -   ,  -   ,"  4,973 ","  11,632 ",  43 ,  101 ,  -   ,  21 ,ModerateBurden,,Moderate,Substantial,1.9%,  469 ,"  1,097 ",  1.0 ,100%,-3.3%,-23%,  -   ,+1%,5.2%,  611 ,"  1,429 ",  1.0 ,99%,  -   ,  -   ,  -   ,  -   ,40%,0%,,,0%,0%,-100%,,-12%,-3%,,,0%,0%,  1 ,  22 ,  -   ,  6 ,100%,100%,100%,100%,"  15,372 ",36.0%,"  13,412 ",31.4%,  63 ,1.9%,  207 ,0.6%,  22 ,0.3%,,,,  397 ,12.1%,  180 ,5.5%,"  14,975 ",44.1%,"  13,232 ",39.0%,"  5,339 ",81.8%,"  5,099 ",78.2%,5%,10%,15%,  2.5 ,1%,2%,0%,1%,  0.08 ,  0.14 ,Uncertain
"Berrien County, GA",Berrien County ,13019,Non-core,,,GA,4,"  19,397 ",,0.2%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  26 ,  -   ,  -   ,-72%,-100%,0.0%,  18 ,  93 ,  1 ,  5.2 ,"  1,868 ","  9,630 ",  45 ,  232 ,  -   ,  1 ,ModerateBurden,,Moderate,Substantial,1.5%,  86 ,  443 ,  -   ,97%,-3.8%,-5%,  -   ,0%,5.3%,  91 ,  469 ,  -   ,97%,  -   ,  -   ,  -   ,  -   ,4%,0%,,,,,,,-7%,0%,,,,,  1 ,  27 ,  -   ,  -   ,100%,100%,100%,100%,"  1,943 ",10.0%,"  1,897 ",9.8%,  5 ,0.3%,  33 ,0.2%,  6 ,0.2%,,,,  14 ,0.8%,  8 ,0.5%,"  1,928 ",13.1%,"  1,889 ",12.8%,  899 ,26.9%,  942 ,28.2%,22%,26%,17%,  2.6 ,11%,5%,0%,1%,  0.85 ,  0.78 ,Uncertain
"Vernon County, MO",Vernon County ,29217,Non-core,,,MO,7,"  20,563 ",,0.3%,0.0%,  -   ,  268 ,1.3%,0.0%,  5 ,  24 ,  -   ,  -   ,+25%,-100%,0.0%,  4 ,  19 ,  2 ,  9.7 ,"  1,961 ","  9,537 ",  46 ,  224 ,  -   ,  7 ,ModerateBurden,,Moderate,Moderate,2.5%,  225 ,"  1,094 ",  -   ,100%,+1.6%,+24%,  -   ,0%,0.9%,  182 ,  885 ,  -   ,100%,  -   ,  -   ,  -   ,  -   ,100%,0%,,,0%,0%,-100%,,0%,-2%,,,-5%,0%,  1 ,  24 ,  -   ,  3 ,100%,100%,100%,100%,"  5,156 ",25.1%,"  4,494 ",21.9%,  7 ,0.4%,  57 ,0.4%,  9 ,0.2%,,,,  29 ,1.7%,  9 ,0.5%,"  5,127 ",32.6%,"  4,485 ",28.5%,"  2,251 ",55.5%,"  2,050 ",50.5%,14%,14%,20%,  2.5 ,1%,2%,1%,1%,  0.45 ,  0.25 ,Uncertain
"Craig County, VA",Craig County ,51045,Medium metro,"Roanoke, VA",Metropolitan,VA,3,"  5,131 ",1.6%,0.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  97 ,  1 ,  19.5 ,+67%,,0.0%,  3 ,  58 ,  -   ,  -   ,  319 ,"  6,217 ",  6 ,  117 ,  -   ,  -   ,ModerateBurden,,High,High,16.7%,  42 ,  819 ,  1.0 ,100%,+6.7%,+100%,  -   ,0%,10.0%,  21 ,  409 ,  1.0 ,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,  123 ,2.4%,  71 ,1.4%,,,  1 ,0.0%,  1 ,0.1%,,,,  2 ,0.6%,  2 ,0.6%,  120 ,2.8%,  69 ,1.6%,  74 ,6.0%,  47 ,3.8%,4%,9%,24%,  2.3 ,0%,2%,0%,0%,  0.07 ,  0.16 ,Uncertain
"Bailey County, TX",Bailey County ,48017,Non-core,,,TX,6,"  7,000 ",,0.0%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  71 ,  -   ,  -   ,+150%,,0.0%,  2 ,  29 ,  -   ,  -   ,  830 ,"  11,857 ",  19 ,  271 ,  -   ,  -   ,ModerateBurden,,Substantial,Moderate,0.0%,  23 ,  329 ,  1.0 ,100%,-4.2%,-12%,  -   ,+4%,4.2%,  26 ,  371 ,  1.0 ,96%,  -   ,  -   ,  -   ,  -   ,16%,0%,,,0%,0%,,,+6%,0%,,,0%,0%,  1 ,  19 ,  -   ,  4 ,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,21%,15%,15%,  3.3 ,1%,64%,0%,1%,  0.80 ,  0.91 ,Uncertain
"Massac County, IL",Massac County ,17127,Micropolitan,"Paducah, KY-IL",Micropolitan,IL,5,"  13,772 ",14.3%,0.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  5 ,  36 ,  -   ,  -   ,-55%,,0.0%,  11 ,  80 ,  -   ,  -   ,"  1,354 ","  9,832 ",  40 ,  290 ,  -   ,  4 ,ModerateBurden,,Moderate,Substantial,3.9%,  215 ,"  1,561 ",  1.0 ,98%,+0.5%,+15%,  -   ,-2%,3.3%,  187 ,"  1,358 ",  1.0 ,100%,  -   ,  -   ,  -   ,  -   ,20%,0%,,,0%,0%,,,+3%,0%,,,0%,0%,  1 ,  25 ,  -   ,  5 ,100%,100%,100%,100%,"  4,389 ",31.9%,"  3,226 ",23.4%,  2 ,0.2%,  71 ,0.7%,  13 ,0.4%,,,,  78 ,7.2%,  19 ,1.8%,"  4,309 ",39.9%,"  3,206 ",29.7%,"  2,041 ",69.2%,"  1,603 ",54.4%,4%,18%,21%,  2.4 ,6%,3%,0%,1%,  0.75 ,  0.72 ,Uncertain
